date,close,open,high,low
-271814400,66.849998,66.849998,66.849998,66.849998
-271728000,66.68,66.68,66.68,66.68
-271641600,66.260002,66.260002,66.260002,66.260002
-271555200,66.010002,66.010002,66.010002,66.010002
-271468800,66.43,66.43,66.43,66.43
-271036800,66.559998,66.559998,66.559998,66.559998
-270950400,66.559998,66.559998,66.559998,66.559998
-270864000,66.730003,66.730003,66.730003,66.730003
-270604800,67.080002,67.080002,67.080002,67.080002
-270518400,66.889999,66.889999,66.889999,66.889999
-270432000,65.639999,65.639999,65.639999,65.639999
-270345600,66.669998,66.669998,66.669998,66.669998
-270259200,66.660004,66.660004,66.660004,66.660004
-270000000,66.150002,66.150002,66.150002,66.150002
-269913600,65.800003,65.800003,65.800003,65.800003
-269827200,65.980003,65.980003,65.980003,65.980003
-269740800,65.690002,65.690002,65.690002,65.690002
-269654400,65.18,65.18,65.18,65.18
-269395200,64.580002,64.580002,64.580002,64.580002
-269308800,65.150002,65.150002,65.150002,65.150002
-269222400,65.139999,65.139999,65.139999,65.139999
-269136000,64.900002,64.900002,64.900002,64.900002
-269049600,65.160004,65.160004,65.160004,65.160004
-268790400,64.470001,64.470001,64.470001,64.470001
-268704000,64.470001,64.470001,64.470001,64.470001
-268617600,64.589996,64.589996,64.589996,64.589996
-268531200,64.519997,64.519997,64.519997,64.519997
-268444800,64.639999,64.639999,64.639999,64.639999
-268185600,65.209999,65.209999,65.209999,65.209999
-268012800,65.629997,65.629997,65.629997,65.629997
-267926400,65.809998,65.809998,65.809998,65.809998
-267840000,65.769997,65.769997,65.769997,65.769997
-267580800,65.709999,65.709999,65.709999,65.709999
-267494400,65.690002,65.690002,65.690002,65.690002
-267408000,65.32,65.32,65.32,65.32
-267321600,64.860001,64.860001,64.860001,64.860001
-267235200,65.279999,65.279999,65.279999,65.279999
-266976000,64.790001,64.790001,64.790001,64.790001
-266889600,64.410004,64.410004,64.410004,64.410004
-266803200,64.699997,64.699997,64.699997,64.699997
-266716800,64.709999,64.709999,64.709999,64.709999
-266630400,64.860001,64.860001,64.860001,64.860001
-266371200,64.870003,64.870003,64.870003,64.870003
-266284800,65.230003,65.230003,65.230003,65.230003
-266198400,65.839996,65.839996,65.839996,65.839996
-266112000,66.610001,66.610001,66.610001,66.610001
-266025600,66.709999,66.709999,66.709999,66.709999
-265766400,66.760002,66.760002,66.760002,66.760002
-265680000,67.370003,67.370003,67.370003,67.370003
-265593600,66.940002,66.940002,66.940002,66.940002
-265507200,67.290001,67.290001,67.290001,67.290001
-265420800,67.68,67.68,67.68,67.68
-265161600,67.669998,67.669998,67.669998,67.669998
-265075200,67.82,67.82,67.82,67.82
-264988800,67.739998,67.739998,67.739998,67.739998
-264902400,67.949997,67.949997,67.949997,67.949997
-264816000,68.059998,68.059998,68.059998,68.059998
-264556800,67.720001,67.720001,67.720001,67.720001
-264470400,67.550003,67.550003,67.550003,67.550003
-264384000,67.730003,67.730003,67.730003,67.730003
-264297600,68.110001,68.110001,68.110001,68.110001
-264211200,68.290001,68.290001,68.290001,68.290001
-263952000,68.43,68.43,68.43,68.43
-263865600,68.440002,68.440002,68.440002,68.440002
-263779200,67.980003,67.980003,67.980003,67.980003
-263692800,67.589996,67.589996,67.589996,67.589996
-263606400,67.669998,67.669998,67.669998,67.669998
-263347200,67.699997,67.699997,67.699997,67.699997
-263260800,67.550003,67.550003,67.550003,67.550003
-263174400,67.809998,67.809998,67.809998,67.809998
-263088000,68.07,68.07,68.07,68.07
-263001600,68.190002,68.190002,68.190002,68.190002
-262656000,67.959999,67.959999,67.959999,67.959999
-262569600,68.459999,68.459999,68.459999,68.459999
-262483200,68.349998,68.349998,68.349998,68.349998
-262396800,67.879997,67.879997,67.879997,67.879997
-262137600,67.279999,67.279999,67.279999,67.279999
